ev_id,ntsb_no,ev_type,ev_date,ev_dow,ev_time,ev_tmzn,ev_city,ev_state,ev_country,ev_site_zipcode,ev_year,ev_month,mid_air,on_ground_collision,latitude,longitude,latlong_acq,apt_name,ev_nr_apt_id,ev_nr_apt_loc,apt_dist,apt_dir,apt_elev,wx_brief_comp,wx_src_iic,wx_obs_time,wx_obs_dir,wx_obs_fac_id,wx_obs_elev,wx_obs_dist,wx_obs_tmzn,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_rvr,vis_rvv,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_dir_ind,wind_vel_kts,wind_vel_ind,gust_ind,gust_kts,altimeter,wx_dens_alt,wx_int_precip,metar,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,invest_agy,ntsb_docket,ntsb_notf_from,ntsb_notf_date,ntsb_notf_tm,fiche_number,lchg_date,lchg_userid,wx_cond_basic,faa_dist_office,dec_latitude,dec_longitude
"20080211X00175","DFW08RA039","ACC","01/10/08 00:00:00","Th",1907,"UTC","Pitt Meadows",,"CA",,2008,1,,,"049130N","0122412W",,,,,0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,"NONE",,,,0,0,2,0,2,"O",,,,,,"09/23/25 18:50:18","dobn",,,49.216634,-122.68387
"20080107X00026","SEA08LA057","ACC","01/01/08 00:00:00","Tu",2230,"UTC","Sonoma","CA","USA","95476",2008,1,"Y","N","381326N","1222659W",,"Schellville/Sonoma","OQ3","ONAP",0,,10,,"WFAC",2254,220,"DVO",2,7,"UTC","DAYL","CLER",0,0,"NONE",,,10,57,32,80,"U",10,"F","T",0,30.190001,,,,"NONE",,,,0,0,3,0,3,"N",,,,,,"09/25/20 18:05:31",,"VMC",,38.223888,-122.449722
"20080109X00036","DFW08CA054","ACC","01/01/08 00:00:00","Tu",2200,"UTC","Arcola","TX","USA","77583",2008,1,,,"293022N","0952836W",,"HOUSTON-SOUTHWEST","AXH","ONAP",0,,68,,"WFAC",1553,0,"SGR",,0,,"DAYL","CLER",0,0,"NONE",,,10,55,14,360,"U",15,"F","F",20,30.620001,,,,"NONE",,,,0,0,1,0,1,"N",,,,,,"09/25/20 18:05:31",,"VMC",,29.506111,-95.476669
"20080107X00027","DFW08LA055","ACC","01/03/08 00:00:00","Th",825,"UTC","Oklahoma City","OK","USA","73008",2008,1,,,"035321N","0973829W",,"Wiley Post","PWA","ONAP",0,,1299,,"WFAC",853,0,"PWA",1299,0,"UTC","NITE","CLER",0,0,"NONE",,,10,0,0,170,"U",16,"F","T",0,30.639999,,,,"FATL",1,0,0,0,0,8,0,9,,,,,,,"09/25/20 18:04:02",,"VMC",,35.533611,-97.64138699999999
"20080115X00051","DEN08CA047","ACC","01/02/08 00:00:00","We",2230,"UTC","Loveland","CO","USA","80538",2008,1,,,"040276N","0010504W",,"Fort Collins Loveland","FNL","ONAP",1,,5016,,"WFAC",2235,180,"KFNL",,1,"UTC","DAYL","CLER",0,0,"NONE",,,10,19,7,150,"U",5,"F","T",0,30.26,,,,"NONE",,,,0,0,1,0,1,"N",,,,,,"09/25/20 18:06:16",,"VMC",,40.451667,-105.001113
"20080115X00047","MIA08LA035","ACC","01/05/08 00:00:00","Sa",2045,"UTC","Spotsylvania","VA","USA","22551",2008,1,,,"038128N","0773515W",,,,"OFAP",0,,,,"WFAC",2043,30,"KEZF",85,12,"UTC","DAYL","CLER",0,0,"NONE",,,10,48,43,160,"U",5,"F","T",0,30.290001,,,,"MINR",,,,0,1,0,0,1,"N",,,,,,"09/25/20 18:04:02",,"VMC",,38.20222,-77.587501
"20080123X00096","NYC08LA075","ACC","01/05/08 00:00:00","Sa",2115,"UTC","Laurel","MD","USA","20724",2008,1,,,"039436N","0764940W",,"Suburban Airport","W18","OFAP",0,,148,,"WFAC",2121,80,"FME",150,3,"UTC","DAYL","CLER",0,0,"NONE",,,10,39,16,140,"U",4,"F","T",0,30.309999,,,,"MINR",,,,0,1,0,0,1,"N",,,,,,"09/25/20 18:06:16",,"VMC",,39.076667,-76.82777400000001
"20080116X00063","ANC08MA038","ACC","01/05/08 00:00:00","Sa",1743,"UTC","Kodiak","AK","USA","99615",2008,1,,,"057452N","0152287W","MEAS","Kodiak","ADQ","OFAP",0,,78,,"WFAC",1753,0,"ADQ",78,0,"UTC","DAYL","FEW",1600,0,,,,10,25,14,300,"U",17,"F","F",26,28.959999,,,,"FATL",,,,6,1,0,3,10,"N",,,,,,"09/25/20 18:04:46",,"VMC",,57.750556,-152.468612
"20080114X00044","MIA08LA036","ACC","01/06/08 00:00:00","Su",1510,"UTC","Miami","FL","USA","33186",2008,1,,,"253726N","0803426W",,,,"OFAP",5,,8,,"WFAC",1453,270,"KTMB",8,5,"UTC","DAYL","CLER",0,0,"NONE",,,10,73,59,100,"U",13,"F","T",0,30.290001,,,,"NONE",,,,0,0,2,0,2,"N",,,,,,"09/25/20 18:04:46",,"VMC",,25.623888,-80.57389000000001
"20080122X00087","NYC08LA077","ACC","01/07/08 00:00:00","Mo",2345,"UTC","DeLand","FL","USA","32763",2008,1,,,"028594N","0811758W",,,,"OFAP",0,,,,"WFAC",2353,230,"DAB",34,15,"UTC","DAYL","FEW",2000,7000,"BKN",,,10,66,61,70,"U",4,"F","T",0,30.299999,,,,"NONE",,,,0,0,2,0,2,"N",,,,,,"09/25/20 18:07:03",,"VMC",,28.984443,-81.299446
"20080220X00212","LAX08CA044","ACC","01/07/08 00:00:00","Mo",1915,"UTC","Exeter","CA","USA","93221",2008,1,,,"361419N","0119835W",,"THUNDERHAWK FIELD","O63","ONAP",0,,340,,"WFAC",1915,90,"VIS",,13,"UTC","DAYL","CLER",0,0,"NONE",,,10,52,43,340,"U",8,"F","T",0,30.09,,,,"NONE",,,,0,0,2,0,2,"N",,,,,,"09/25/20 18:06:16",,"VMC",,36.238609,-119.143058
"20080210X00166","NYC08CA074","ACC","01/02/08 00:00:00","We",1645,"UTC","Brunswick","GA","USA","31522",2008,1,,,"003196N","0812328W",,"Malcolm McKinnon Airport","SSI","ONAP",0,,19,,"WFAC",1753,0,"SSI",19,0,"UTC","DAYL","CLER",0,0,"NONE",,,9,37,5,300,"U",11,"F","F",24,30.370001,,,,"NONE",,,,0,0,3,0,3,"N",,,,,,"09/25/20 18:05:31",,"VMC",,31.151666,-81.391113
"20080210X00162","NYC08LA078","ACC","01/08/08 00:00:00","Tu",2123,"UTC","North Palm Bch","FL","USA","33408",2008,1,,,"264954N","0080218W",,,,"OFAP",0,,,,"WFAC",2153,195,"PBI",19,10,"UTC","DAYL","FEW",4000,0,"NONE",,,10,73,55,90,"U",9,"F","T",0,30.17,,,,"SERS",,,,0,0,0,1,1,"N",,,,,,"09/25/20 18:07:03",,"VMC",,26.831666,-80.03833
"20080312X00299","MIA08CA037","ACC","01/06/08 00:00:00","Su",1815,"UTC","Ellsworth","ME","USA","04605",2008,1,,,"044387N","0683757W",,"Philbrick Mountain","NONE","ONAP",0,,667,,"WFAC",1753,0,"KBGR",198,0,"UTC","DAYL",,0,6500,"OVC",,,10,36,28,200,"U",3,"F","T",0,30.120001,,,,"NONE",,,,0,0,2,0,2,"N",,,,,,"09/25/20 18:06:16",,"VMC",,44.635276,-68.632499
"20080111X00038","DCA08WA024","INC","01/03/08 00:00:00","Th",745,"UTC","Deauville Saint",,"FR",,2008,1,,,"482148N","0000922E",,,,,0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,,,,,0,0,0,0,,"O",,,,,,"09/25/20 18:07:50",,,,48.363334,0.156111
"20080111X00039","DCA08WA025","INC","01/07/08 00:00:00","Mo",,,"Bangkok",,"TH",,2008,1,,,,,,,,,0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,"NONE",,,,0,0,334,0,334,"O",,,,,,"09/25/20 18:07:50",,,,,
