ev_id,Aircraft_Key,finding_no,finding_code,finding_description,category_no,subcategory_no,section_no,subsection_no,modifier_no,Cause_Factor,lchg_date,lchg_userid,cm_inPc
"20080107X00026",1,1,"0204151045","Personnel issues-Action/decision-Info processing/decision-Identification/recognition-Pilot of other aircraft - C","02","04","15","10","45","C","09/25/20 18:05:31",,"T"
"20080107X00026",2,1,"0204151044","Personnel issues-Action/decision-Info processing/decision-Identification/recognition-Pilot - C","02","04","15","10","44","C","09/25/20 18:05:31",,"T"
"20080109X00036",1,1,"0303404099","Environmental issues-Conditions/weather/phenomena-Wind-Crosswind-Not specified - F","03","03","40","40","99","F","09/25/20 18:05:31",,"T"
"20080109X00036",1,2,"0106202020","Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C","01","06","20","20","20","C","09/25/20 18:05:31",,"T"
"20080107X00027",1,1,"0303602099","Environmental issues-Conditions/weather/phenomena-Light condition-Dark-Not specified - F","03","03","60","20","99","F","09/25/20 18:04:02",,"T"
"20080107X00027",1,2,"0204151039","Personnel issues-Action/decision-Info processing/decision-Identification/recognition-Ground crew - C","02","04","15","10","39","C","09/25/20 18:04:02",,"T"
"20080115X00051",1,1,"0106204199","Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Landing flare-Not specified - C","01","06","20","41","99","C","09/25/20 18:06:16",,"T"
"20080115X00051",1,2,"0106200020","Aircraft-Aircraft oper/perf/capability-Performance/control parameters-(general)-Not attained/maintained - C","01","06","20","00","20","C","09/25/20 18:06:16",,"T"
"20080115X00051",1,3,"0302206099","Environmental issues-Physical environment-Object/animal/substance-Snow/ice-Not specified ","03","02","20","60","99"," ","09/25/20 18:06:16",,"F"
"20080115X00047",1,1,"0105852001","Aircraft-Aircraft power plant-Engine (reciprocating)-Recip engine power section-Failure - F","01","05","85","20","01","F","09/25/20 18:04:02",,"T"
"20080115X00047",1,2,"0105855099","Aircraft-Aircraft power plant-Engine (reciprocating)-Recip eng oil sys-Not specified ","01","05","85","50","99"," ","09/25/20 18:04:02",,"F"
"20080115X00047",1,3,"0302204799","Environmental issues-Physical environment-Object/animal/substance-Fence/fence post-Not specified ","03","02","20","47","99"," ","09/25/20 18:04:02",,"F"
"20080115X00047",1,4,"0302202099","Environmental issues-Physical environment-Object/animal/substance-Tree(s)-Not specified ","03","02","20","20","99"," ","09/25/20 18:04:02",,"F"
"20080115X00047",1,5,"0206303044","Personnel issues-Task performance-Use of equip/info-Use of checklist-Pilot - C","02","06","30","30","44","C","09/25/20 18:04:02",,"T"
"20080115X00047",1,6,"0204101544","Personnel issues-Action/decision-Action-Incorrect action performance-Pilot - C","02","04","10","15","44","C","09/25/20 18:04:02",,"T"
"20080123X00096",1,1,"0106202320","Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Lateral/bank control-Not attained/maintained ","01","06","20","23","20"," ","09/25/20 18:06:16",,"F"
"20080123X00096",1,2,"0500000000","Not determined-Not determined-(general)-(general)-Unknown/Not determined - C","05","00","00","00","00","C","09/25/20 18:06:16",,"T"
"20080116X00063",1,1,"0103523013","Aircraft-Aircraft structures-Doors-Cargo/baggage doors-Incorrect service/maintenance - C","01","03","52","30","13","C","09/25/20 18:04:46",,"T"
"20080116X00063",1,2,"0206201541","Personnel issues-Task performance-Maintenance-Repair-Maintenance personnel - C","02","06","20","15","41","C","09/25/20 18:04:46",,"T"
"20080116X00063",1,3,"0403103066","Organizational issues-Support/oversight/monitoring-Training-Emergency proc training-Manufacturer - F","04","03","10","30","66","F","09/25/20 18:04:46",,"T"
"20080116X00063",1,4,"0402101066","Organizational issues-Management-Policy/procedure-Availability of policy/proc-Manufacturer - F","04","02","10","10","66","F","09/25/20 18:04:46",,"T"
"20080116X00063",1,5,"0106201020","Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained - F","01","06","20","10","20","F","09/25/20 18:04:46",,"T"
"20080114X00044",1,1,"0105732001","Aircraft-Aircraft power plant-Engine fuel and control-Fuel controlling system-Failure ","01","05","73","20","01"," ","09/25/20 18:04:46",,"F"
"20080114X00044",1,2,"0206152041","Personnel issues-Task performance-Inspection-Scheduled/routine inspection-Maintenance personnel - C","02","06","15","20","41","C","09/25/20 18:04:46",,"T"
"20080122X00087",1,1,"0105725006","Aircraft-Aircraft power plant-Engine (turbine/turboprop)-Turbine section-Fatigue/wear/corrosion - C","01","05","72","50","06","C","09/25/20 18:07:03",,"T"
"20080220X00212",1,1,"0106202020","Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C","01","06","20","20","20","C","09/25/20 18:06:16",,"T"
"20080220X00212",1,2,"0206304044","Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C","02","06","30","40","44","C","09/25/20 18:06:16",,"T"
"20080220X00212",1,3,"0302302091","Environmental issues-Physical environment-Runway/land/takeoff/taxi surfa-Soft-Contributed to outcome ","03","02","30","20","91"," ","09/25/20 18:06:16",,"F"
"20080210X00166",1,1,"0303404599","Environmental issues-Conditions/weather/phenomena-Wind-Gusts-Not specified - F","03","03","40","45","99","F","09/25/20 18:05:31",,"T"
"20080210X00166",1,2,"0106201020","Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained - C","01","06","20","10","20","C","09/25/20 18:05:31",,"T"
"20080210X00162",1,1,"0302102091","Environmental issues-Physical environment-Terrain-Water-Contributed to outcome - F","03","02","10","20","91","F","09/25/20 18:07:03",,"T"
"20080210X00162",1,2,"0303103081","Environmental issues-Conditions/weather/phenomena-Temp/humidity/pressure-Conducive to carburetor icing-Effect on equipment - C","03","03","10","30","81","C","09/25/20 18:07:03",,"T"
"20080312X00299",1,1,"0302301599","Environmental issues-Physical environment-Runway/land/takeoff/taxi surfa-Snow/slush/ice covered-Not specified ","03","02","30","15","99"," ","09/25/20 18:06:16",,"F"
"20080312X00299",1,2,"0204101044","Personnel issues-Action/decision-Action-Incorrect action selection-Pilot - C","02","04","10","10","44","C","09/25/20 18:06:16",,"T"
"20080312X00299",1,3,"0106203020","Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Crosswind correction-Not attained/maintained - C","01","06","20","30","20","C","09/25/20 18:06:16",,"T"
"20080312X00299",1,4,"0302202299","Environmental issues-Physical environment-Object/animal/substance-Residence/building-Not specified ","03","02","20","22","99"," ","09/25/20 18:06:16",,"F"
"20080117X00068",1,1,"0302101099","Environmental issues-Physical environment-Terrain-Mountainous/hilly terrain-Not specified ","03","02","10","10","99"," ","09/25/20 18:05:31",,"F"
"20080117X00068",1,2,"0106201220","Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained - C","01","06","20","12","20","C","09/25/20 18:05:31",,"T"
"20080219X00203",1,1,"0206102544","Personnel issues-Task performance-Planning/preparation-Flight planning/navigation-Pilot","02","06","10","25","44","C","05/17/22 13:26:42","broda","T"
"20080219X00203",1,2,"0302101599","Environmental issues-Physical environment-Terrain-Rough terrain-Not specified","03","02","10","15","99"," ","05/17/22 13:26:42","broda","T"
"20080219X00203",1,3,"0206103044","Personnel issues-Task performance-Planning/preparation-Fuel planning-Pilot","02","06","10","30","44","C","05/17/22 13:26:42","broda","T"
"20080219X00203",1,4,"0107101025","Aircraft-Fluids/misc hardware-Fluids-Fuel-Fluid management","01","07","10","10","25"," ","05/17/22 13:26:42","broda","T"
"20080123X00090",1,1,"0106103508","Aircraft-Aircraft oper/perf/capability-Aircraft capability-Maximum weight-Capability exceeded - F","01","06","10","35","08","F","09/25/20 18:04:02",,"T"
"20080123X00090",1,2,"0106201020","Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained - C","01","06","20","10","20","C","09/25/20 18:04:02",,"T"
"20080123X00090",1,3,"0206304044","Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C","02","06","30","40","44","C","09/25/20 18:04:02",,"T"
"20080304X00261",1,1,"0106201011","Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Incorrect use/operation ","01","06","20","10","11"," ","09/25/20 18:05:31",,"F"
